Area,Zipcode
Jamul,91935 
Wooded_Area,92106 
Old_Town,92110 
Spring_Valley,91977 91978 
Pauma_Valley,92061 
Clairemont_Mesa_East,92111 
Mira_Mesa,92126 
Ranchita,92066 
Cardiff,92007 
Solana_Beach,92075 
Lakeside,92040 
Hillcrest,92103 
Scipps_Ranch,92131 
Julian,92036 
Del_Cerro,92120 
Campo,91906 
Coronado,92118 
Del_Mar,92014 
Boulevard,91905 
Serra_Mesa,92123 
Gaslamp,92101 
Barrio_Logan,92113 
North_Park,92104 
Carmel_Valley,92130 
Alpine,91901 
Jacumba_Hot_Springs,91934 
San_Marcos,92069 92078 
Encinitas,92024 
Dulzura,91917 
Borrego_Springs,92004 
Otay_Mesa,92154 
University_City,92122 
Poway,92064 
Carmel_Mountain,92128 
La_Mesa,91941 91942 
Chula_Vista,91910 91911 91913 91914 91915 
Pala,92059 
Sorrento_Valley,92121 
Rancho_Penasquitos,92129 
Ocean_Beach,92107 
Bonsall,92003 
Mission_Beach,92109 
Descanso,91916 
Warner_Springs,92086 
Lemon_Grove,91945 
Ramona,92065 
Potrero,91963 
Black_Mountain_Ranch,92127 
Pine_Valley,91962 
Santa_Ysabel,92070 
Oak_Park,92105 
San_Ysidro,92173 
Encanto,92114 
Vista,92081 92083 92084 
North_Clairemont,92117 
Paradise_Hills,92139 
Santee,92071 
Imperial_Beach,91932 
Normal_Heights,92116 
El_Cerrito,92115 
Mission_Valley_East,92108 
Tierrasanta,92124 
Valley_Center,92082 
Carlsbad,92008 92009 92010 92011 
San_Carlos,92119 
Fallbrook,92028 
El_Cajon,92019 92020 92021 
Golden_Hill,92102 
Oceanside,92054 92056 92057 92058 
Escondido,92025 92026 92027 92029 
National_City,91950 
La_Jolla,92037 
Rancho_Santa_Fe,92067 92091 
Bonita,91902 
